"","GSM1100823","GSM1100824","GSM1100825","GSM1100826"
"hsa-miR-212",12.995,13.0512,2.0916,1.9826
"hsa-miR-9",13.1396,12.7027,2.104,1.9577
"hsa-miR-15a",13.1598,12.6713,1.8481,1.9957
"hsa-miR-200a",17.1739,3.0289,11.1379,-2.0091
"hsa-miR-451",13.5756,14.0513,1.0866,0.574
"hsa-miR-27a",13.1301,12.9151,1.0902,0.672
"hsa-miR-195",13.1457,12.4112,1.0983,0.9978
"hsa-miR-103",12.4002,13.0692,0.8704,0.9906
"hsa-miR-495",12.1262,12.5945,1.0074,0.9946
"hsa-miR-301a",12.1513,12.4432,1.1085,0.7993
"hsa-miR-339-3p",12.1187,12.0549,1.1148,1.1733
"hsa-miR-382",13.178,12.9315,0.1211,-0.024
"hsa-miR-494",11.8637,12.0621,1.2177,1.0116
"hsa-miR-339-5p",12.0126,12.0562,1,1.0193
"hsa-miR-135b",12.1082,12.0381,1.109,0.6831
"hsa-miR-125a-5p",11.1386,10.8922,1.7087,1.9706
"hsa-miR-345",11.1492,10.4814,2.1214,1.8552
"hsa-miR-886-3p",11.1746,11.5785,1.1147,0.9399
"hsa-miR-29a",11.132,11.5228,1.09,0.9703
"hsa-miR-532-5p",12.1635,12.4391,0.0984,-0.0168
"hsa-miR-185",12.1703,12.7165,0.1147,-0.3983
"hsa-miR-370",12.1308,12.417,-0.0805,-0.006
"hsa-miR-379",12.128,12.6118,0.0809,-0.4024
"hsa-miR-26b",11.1389,11.0492,0.9949,0.9954
"hsa-miR-539",12.0451,12.0331,0.0955,-0.0187
"hsa-miR-323-3p",11.1363,10.9308,1.1156,0.9376
"hsa-miR-652",12.075,12.0617,0.1331,-0.948
"hsa-miR-486-3p",9.1307,9.5869,2.1369,1.9015
"hsa-miR-193b",11.1691,10.812,0.1388,0.2638
"hsa-miR-15b",11.1539,11.1184,-0.0037,-0.003
"hsa-miR-374a",11.1337,11.2469,-0.142,-0.0179
"hsa-miR-886-5p",11.1154,10.7709,0.1039,0.0197
"hsa-miR-99b",11.1228,10.9841,0.1375,-0.2616
"hsa-miR-145",11.1111,10.8955,0.1345,-0.1616
"hsa-miR-452",10.9634,11.0449,0.1066,-0.179
"hsa-miR-210",12.145,10.5883,0.0294,-1.0061
"hsa-miR-197",11.1183,10.733,-0.1536,-0.0197
"hsa-miR-431",11.1678,10.4684,0.1217,-0.156
"hsa-miR-331-3p",10.1543,10.0513,0.118,0.2009
"hsa-miR-127-3p",11.1463,11.073,-0.8819,-1.0987
"hsa-miR-25",10.9101,11.035,-0.9034,-1.0761
"hsa-miR-134",10.1147,10.3395,-0.8638,-0.4179
"hsa-miR-411",10.1328,10.6492,-0.964,-1.0149
"hsa-miR-140-5p",10.1324,10.3191,-0.9051,-1.003
"hsa-miR-425",10.0874,10.0441,-0.8926,-1.0297
"hsa-miR-374b",10.1583,10.023,-1.0111,-1.0088
"hsa-miR-574-3p",10.1513,9.5706,-0.8998,-0.8976
"hsa-miR-130b",10.1286,10.7124,-1.8629,-2.4557
"hsa-miR-30b",10.1494,9.8486,-1.8814,-1.6465
"hsa-miR-454",9.1092,8.5537,-0.9252,-0.5617
"hsa-miR-590-5p",9.1164,8.9317,-0.8852,-1.0607
"hsa-miR-26a",9.1422,9.0472,-1.1307,-0.9864
"hsa-miR-132",10.1413,9.8033,-1.8838,-2.0307
"hsa-miR-486-5p",7.1321,6.8256,0.9805,0.9992
"hsa-miR-224",9.9629,10.0415,-1.8894,-2.2926
"hsa-miR-106b",9.9598,10.0396,-1.893,-2.3636
"hsa-miR-342-3p",9.1364,8.9114,-1.8887,-1.6563
"hsa-miR-21",10.1468,9.6993,-2.7119,-3.0011
"hsa-miR-20b",11.1098,10.7362,-3.8774,-4.0143
"hsa-miR-320",9.0525,9.0408,-2.2218,-2.0047
"hsa-miR-18b",10.2173,9.1698,-2.5659,-3.8218
"hsa-miR-376a",8.9892,9.084,-3.0264,-2.9862
"hsa-miR-18a",9.0224,9.0459,-2.9059,-3.135
"hsa-miR-520e",9.1672,9.9684,-3.9081,-4.1337
"hsa-miR-376c",8.1476,8.2301,-2.887,-3.0074
"hsa-miR-186",8.1401,7.8124,-2.9114,-2.8641
"hsa-miR-93",8.1262,7.9459,-3.1726,-3.0188
"hsa-miR-30c",7.7348,8.0345,-2.9198,-3.0175
"hsa-miR-142-3p",7.1084,7.1941,-3.1563,-3.0219
"hsa-miR-484",7.1311,7.0602,-3.2788,-3.0173
"hsa-miR-24",8.1552,7.8249,-3.8916,-4.2884
"hsa-miR-92a",7.1346,7.2549,-4.995,-5.0105
"hsa-miR-16",6.131,5.7976,-4.0992,-4.0034
"hsa-miR-191",6.0922,6.0656,-5.1734,-4.9825
"hsa-miR-146b-5p",6.1384,5.4322,-6.0444,-6.02
"hsa-miR-126",5.1535,4.957,-5.8721,-5.9848
"hsa-miR-19a",3.137,2.12,-6.2036,-5.9861
"hsa-miR-223",3.1143,3.1685,-8.2412,-8.0309
"hsa-miR-20a",3.1473,3.0569,-8.8884,-9.3573
"hsa-miR-17",2.1344,1.9891,-8.9608,-9.0182
"hsa-miR-106a",2.1298,1.9589,-8.8936,-9.1298
"hsa-miR-19b",1.1574,1.1457,-9.8634,-10.1069
