"","GSM2779536","GSM2779537","GSM2779538","GSM2779539","GSM2779540","GSM2779541","GSM2779542","GSM2779543","GSM2779544","GSM2779545","GSM2779546","GSM2779547","GSM2779548","GSM2779549","GSM2779550","GSM2779551","GSM2779552","GSM2779553","GSM2779554","GSM2779555","GSM2779556","GSM2779557","GSM2779558","GSM2779559","GSM2779560","GSM2779561","GSM2779562","GSM2779563","GSM2779564","GSM2779565","GSM2779566","GSM2779567"
"hsa-miR-3124-5p",-3.3219,-3.3219,1.7466,1.9544,-3.3219,-3.3219,3.3885,2.2194,-3.3219,-3.3219,-3.3219,-3.3219,2.7237,2.0879,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-3125",-3.3219,-3.3219,3.8864,4.8737,-3.3219,-3.3219,-3.3219,2.7837,-3.3219,3.3641,1.7873,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,3.7267,4.0476,4.879,-3.3219,-3.3219,4.4649,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-3127-5p",3.8963,5.0535,5.1168,5.1333,3.0956,3.7399,2.9445,3.3313,4.8763,4.4036,3.7699,-3.3219,-3.3219,-3.3219,3.7691,4.6374,3.1848,3.4675,4.3805,-3.3219,-3.3219,4.1471,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-3131",-3.3219,-3.3219,3.3024,4.4965,2.0642,-3.3219,3.0156,3.0792,-3.3219,3.5053,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,3.405,4.0056,5.3123,-3.3219,-3.3219,4.6019,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-3132",5.1978,5.394,-3.3219,4.6162,3.1054,5.3123,4.9891,6.1731,-3.3219,3.5896,3.2405,2.96,3.4566,-3.3219,3.6543,-3.3219,3.9942,4.759,4.3265,3.6709,3.6385,5.0079,3.2093,4.2868,-3.3219,4.2342,4.3627,-3.3219,-3.3219,-3.3219,2.9094,-3.3219
"hsa-miR-3135b",7.8492,6.7885,6.5559,7.9927,5.6922,6.5786,4.4793,6.0935,5.4897,4.4711,5.4313,4.6152,4.3059,4.7484,4.8182,5.4055,7.0492,7.273,7.9835,3.3331,-3.3219,7.587,1.7955,1.8324,3.034,3.2713,4.6187,1.8722,2.4069,4.7769,4.6853,2.6499
"hsa-miR-3137",3.9378,4.9029,5.0958,7.5745,5.3192,3.1684,3.522,3.2651,5.6264,6.9306,4.6252,-3.3219,-3.3219,-3.3219,3.606,3.9504,3.8091,4.3103,5.2046,-3.3219,-3.3219,4.6303,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-3138",3.4735,4.5613,6.1644,7.683,5.6404,4.7586,5.5857,5.3214,4.6348,6.0395,4.5735,3.0806,4.5076,4.0766,3.8388,3.1263,3.5321,3.9891,4.9713,-3.3219,-3.3219,4.4653,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,2.5353,-3.3219
"hsa-miR-3141",4.81,5.5663,6.5288,9.1464,5.6405,6.574,5.858,6.397,6.0059,7.2482,4.9519,4.3495,4.8497,4.6672,4.6102,5.0273,4.5867,5.1044,6.1083,-3.3219,-3.3219,5.9357,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,1.3502,-3.3219
"hsa-miR-3147",-3.3219,2.381,-3.3219,4.1347,-3.3219,3.7681,3.9748,3.4893,-3.3219,1.6825,-3.3219,-3.3219,3.3546,2.6577,1.9321,1.5992,-3.3219,-3.3219,2.3142,-3.3219,-3.3219,1.9208,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-3148",4.1952,5.8401,3.524,3.4832,-3.3219,5.8034,-3.3219,3.7836,5.6766,3.0191,3.9583,3.9304,-3.3219,-3.3219,4.8796,5.1654,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-3149",5.2911,6.6389,4.2184,4.2361,-3.3219,6.4042,3.0873,4.4562,6.5051,3.6908,4.6853,4.5178,3.9307,-3.3219,5.5361,5.8963,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-3150b-5p",-3.3219,-3.3219,-3.3219,4.4196,1.8071,-3.3219,1.7695,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-3151",-3.3219,-3.3219,3.0976,2.3534,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,2.0274,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-3152-3p",-3.3219,3.5954,3.3896,3.2518,-3.3219,3.0854,5.4256,4.132,-3.3219,-3.3219,-3.3219,1.3928,4.5467,3.9737,1.9592,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-3154",-3.3219,-3.3219,1.9188,4.3169,2.0079,-3.3219,1.7768,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,1.942,3.1882,3.5857,-3.3219,-3.3219,3.9031,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-3155b",-3.3219,-3.3219,1.7241,3.1435,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,1.5828,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-3156-5p",-3.3219,3.3335,5.0279,7.8048,3.1432,-3.3219,3.3717,3.6084,-3.3219,4.0675,3.0264,1.5574,2.0203,2.714,-3.3219,3.2011,3.998,4.6668,5.2419,-3.3219,-3.3219,4.6892,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
