"","GSM971829","GSM971830","GSM971831","GSM971832","GSM971833","GSM971834","GSM971835","GSM971836","GSM971837","GSM971838","GSM971839","GSM971840","GSM971841"
"hsa-miR-1178",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1182",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1184",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1200",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1203",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1204",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1205",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1206",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1224",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1225",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1236",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1238",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-124#",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1245",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1250",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1251",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1252",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
"hsa-miR-1253",14.0484581,14.40233612,14.12783241,14.06013298,13.53500175,14.60219765,14.58081055,14.91900826,14.64173698,14.31853867,14.19684601,13.76735306,14.34071159
