"","GSM2588966","GSM2588967","GSM2588968","GSM2588969","GSM2588970","GSM2588971","GSM2588972","GSM2588973","GSM2588974","GSM2588975","GSM2588976","GSM2588977","GSM2588978","GSM2588979","GSM2588980","GSM2588981","GSM2588982","GSM2588983","GSM2588984","GSM2588985","GSM2588986","GSM2588987","GSM2588988","GSM2588989","GSM2588990","GSM2588991","GSM2588992","GSM2588993","GSM2588994","GSM2588995","GSM2588996","GSM2588997","GSM2588998","GSM2588999","GSM2589000","GSM2589001","GSM2589002","GSM2589003","GSM2589004","GSM2589005","GSM2589006","GSM2589007","GSM2589008","GSM2589009","GSM2589010","GSM2589011","GSM2589012","GSM2589013"
"hsa-miR-103a-3p",0.352,0,0,0,4.807,3.445,5.971,0,0,2.162,3.863,2.792,1.885,2.043,0,4.514,5.015,3.817,4.206,0,0,2.336,0,2.297,0,1.64,3.49,3.463,3.565,2.654,0,6.574,9.763,0,3.183,3.11,0,5.075,2.168,2.317,5.412,0,3.93,3.531,4.435,5.482,3.856,4.625
"hsa-miR-105-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-105-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-106a-5p",4.136,0,0,0,5.631,1.908,6.906,2.012,0,3.748,4.577,2.598,3.1,1.826,0,5.63,6.118,5.116,5.085,0,2.143,3.259,0,3.966,0,1.77,4.822,4.052,5.07,4.078,0,7.168,10.545,0,5.553,2.629,0,4.898,2.089,2.536,5.807,0.529,5.92,4.825,5.3,5.917,5.572,5.613
"hsa-miR-106a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-107",4.053,3.139,0,0,4.775,3.294,5.89,0,0,0,4.076,2.91,2.939,0,0,3.818,4.393,3.859,4.167,0,3.185,0,0,0,0,3.283,4.012,3.675,3.989,3.794,0,6.098,9.387,0,3.733,0,0,4.619,3.265,2.823,5.47,0,4.08,3.451,4.879,5.574,4.26,5.18
"hsa-miR-16-2-3p",8.691,0,3.885,6.788,6.035,0,5.794,6.878,0,6.669,0,0,1.756,0,5.973,0,6.06,4.766,3.508,5.151,4.508,6.725,3.683,2.64,7.916,1.682,0.776,1.207,7.438,3.475,3.196,0,4.509,2.307,2.857,6.289,1.887,5.931,0,6.999,6.349,6.628,0.567,0,8.428,3.053,0,0
"hsa-miR-192-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-192-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-196a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-197-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-197-3p",2.86,0,0,0,0,2.093,0,0,0.634,0,1.914,0.634,0,0,0,0,0,0,0,0,0,0,0,0.305,4.15,0,0,0,0,0,0,3.8,0,0,0,0,0,0,1.651,0,0,0,1.9,0,0,0.112,0,0
"hsa-miR-198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-199a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.907,0,0,0,0,0,0,0,0,3.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-199a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-208a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,2.035,0,0,0,0,0,0,0,0,0,3.704,0,0,0,0,0,0,0,0,0,0,3.374,0,0,0,0,0,0,0,0,0,3.317,0,0,0
"hsa-miR-208a-3p",0,0,0,0,0,0,0,0,0,0,0,0,1.129,0,0,0,0,1.023,0,1.808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-129-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
