"","GSM3467238","GSM3467239","GSM3467240","GSM3467241","GSM3467242","GSM3467243","GSM3467244","GSM3467245","GSM3467246","GSM3467247","GSM3467248","GSM3467249","GSM3467250","GSM3467251","GSM3467252","GSM3467253","GSM3467254","GSM3467255","GSM3467256","GSM3467257","GSM3467258","GSM3467259","GSM3467260","GSM3467261","GSM3467262","GSM3467263","GSM3467264","GSM3467265","GSM3467266","GSM3467267","GSM3467268","GSM3467269","GSM3467270","GSM3467271","GSM3467272","GSM3467273","GSM3467274","GSM3467275"
"hsa-miR-151a-3p",12.753,12.109,12.493,11.919,12.495,11.426,11.653,10.475,10.568,10.636,12.128,11.514,12.576,11.821,12.224,11.868,11.897,12.47,12.284,11.928,12.486,11.956,12.042,12.106,12.324,11.832,12.523,10.997,11.838,12.393,11.717,11.494,11.381,12.195,12.795,11.876,11.194,12.452
"hsa-miR-135b-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-0.737,-3.322,-3.322,0.263,-3.322,-3.322,-3.322,1.485,-3.322,-3.322,-3.322,-3.322,-2.322,-3.322
"hsa-miR-135b-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-148b-5p",5.382,5.904,5.096,5.304,5.7,5.81,5.34,4.863,4.739,3.787,5.86,5.606,5.797,4.446,4.963,5.416,3.678,5.794,5.609,5.385,5.89,4.787,5.975,5.629,5.709,5.766,5.524,5.758,6.229,5.44,5.802,6.238,5.858,5.664,5.706,5.542,5.501,5.379
"hsa-miR-148b-3p",12.697,12.058,12.458,12.225,12.434,11.847,12.056,10.838,10.814,11.067,11.879,11.71,12.326,11.549,12.213,12.415,11.161,12.698,12.458,12.205,11.251,11.734,12.896,12.693,13.127,12.377,12.546,11.583,11.907,12.25,11.693,12.1,12.212,11.627,12.662,12.12,12.361,12.349
"hsa-miR-331-5p",3.776,3.35,4.062,4.263,5.489,5.81,4.982,4.863,5.392,6.598,5.274,5.773,4.365,3.446,4.873,4.678,4.902,3.459,4.186,3.511,4.492,4.65,4.079,5.044,4,3.485,3.121,3.848,5.19,4.138,2.907,3.07,3.868,3.7,3.818,2.263,3.878,5.04
"hsa-miR-331-3p",3.307,1.536,2.202,3.104,4.044,3.485,2.7,-3.322,4.17,-3.322,1.678,3.926,-3.322,5.446,4.945,4.678,5.263,2.322,2.406,4.733,5,4.343,4.079,3.632,4.661,4.129,3.868,4,3.392,3.954,4.597,4.485,4.661,4.744,4.285,5.209,4.858,3.392
"hsa-miR-324-5p",1.138,2.868,1.888,1.202,3.248,5.489,3.42,2.07,3.807,-3.322,2.7,3.609,1.678,5.768,3.17,4.096,3.087,2.17,1.263,-3.322,4.413,3.511,2.868,-3.322,2.138,4.954,0.848,3.807,4.129,2.632,2.907,3.07,3.524,2.35,3.104,5.358,3.597,2.907
"hsa-miR-324-3p",0.678,4.009,2.888,2.744,3.561,6.075,2.945,3.053,5.416,5.375,4.217,5.304,1.678,5.446,4.695,3.087,3.678,2.322,1.263,-3.322,4.248,5.282,4.278,2.036,3.597,4.271,2.17,4.096,4.695,4.293,3.406,4.655,4.256,3.621,2.655,3.498,4.17,3.307
"hsa-miR-338-5p",6.04,5.94,6.517,7.722,6.148,6.811,5.952,5.225,5.875,3.787,5.957,5.853,5.476,7.146,6.771,5.678,4.902,5.644,6.573,5.926,5.053,6.284,6.182,5.952,5.725,6.717,5.771,6.689,6.146,6.002,6.085,6.482,6.66,6.342,6.236,6.271,6.522,5.97
"hsa-miR-338-3p",2.722,0.585,1.888,3.818,2.233,4.492,2.585,3.053,2.868,-3.322,3.278,1.585,0.678,-3.322,3.536,-3.322,-3.322,2,2.926,3.248,2.561,2.868,3.597,-3.322,2.609,5.588,2.35,4.498,1.07,3.053,3.766,2.485,3.459,3,2.963,5.271,4,2.744
"hsa-miR-339-5p",6.527,6.302,6.28,5.289,6.098,7.811,6.359,4.863,6.426,6.375,7.003,6.511,5.423,7.03,7.456,7.678,6.902,6.324,6.717,7.284,7.21,5.057,7.523,7.878,7.84,7.578,6.6,8.281,7.307,7.516,7.402,8.759,8.447,8.115,7.184,7.518,8.548,7.053
"hsa-miR-339-3p",7.005,6.591,6.854,6.744,7.195,8.618,6.678,6.227,6.634,8.649,7.048,7.535,6.525,8.693,7.769,7.793,8.117,6.878,7.17,7.746,8.199,6.993,6.919,7.255,6.934,7.037,6.517,6.843,7.735,8.41,7.583,6.805,6.784,6.837,7.272,6.834,6.768,7.222
"hsa-miR-335-5p",7.961,6.776,7.965,6.755,6.764,6.296,6.34,4.863,7.723,6.598,6.746,6.733,7.766,6.254,8.106,7.678,7.095,7.552,7.347,7.155,6.176,6.785,8.069,7.66,7.976,7.913,7.322,7.672,7.181,7.147,6.053,7.943,8.491,6.763,6.823,7.825,8.122,6.751
