"","GSM5259648","GSM5259649","GSM5259650","GSM5259651","GSM5259652","GSM5259653","GSM5259654","GSM5259655","GSM5259656","GSM5259657","GSM5259658","GSM5259659","GSM5259660","GSM5259661","GSM5259662","GSM5259663","GSM5259664","GSM5259665","GSM5259666","GSM5259667","GSM5259668","GSM5259669","GSM5259670","GSM5259671","GSM5259672","GSM5259673","GSM5259674","GSM5259675","GSM5259676","GSM5259677","GSM5259678","GSM5259679","GSM5259680","GSM5259681","GSM5259682","GSM5259683","GSM5259684","GSM5259685","GSM5259686","GSM5259687","GSM5259688","GSM5259689"
"hsa-miR-519d-3p",40,40,40,33.02,34.672,39.762,32.814,34.321,40,40,37.196,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,35.121,37.395,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-890",40,40,40,40,35.816,32.011,40,40,40,40,40,40,39.758,40,40,39.884,37.134,40,40,39.756,40,40,32.814,39.751,40,40,40,40,32.066,39.123,40,40,40,40,40,40,39.942,40,40,34.321,40,40
"hsa-miR-367-3p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,23.451,40,39.751,40,38.05,40,40,37.171,39.123,40,40,40,40,40,40,39.942,28.043,40,40,39.758,37.229
"hsa-miR-653-5p",40,40,40,40,37.622,39.762,40,40,40,40,38.05,40,39.758,36.128,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,37.998,40,20.922,39.123,39.119,40,40,37.134,40,40,39.942,40,40,40,40,36.406
"hsa-miR-520a-3p",40,32.111,40,40,34.949,39.762,31.49,40,40,40,40,40,39.758,40,33.351,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,35.042,40,40,37.156,40,39.942,40,40,40,38.386,40
"hsa-miR-137",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,38.653,39.884,30.882,40,40,39.756,34.972,24.267,40,39.751,34.18,40,40,40,40,39.123,40,40,40,38.258,40,40,39.942,40,40,40,40,40
"hsa-miR-493-3p",40,35.005,40,34.672,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,36.711,40,40,39.756,29.631,40,40,39.751,35.816,40,36.406,40,36.376,39.123,40,40,40,37.734,40,38.386,39.942,40,40,40,40,40
"hsa-miR-520g-3p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,37.968,37.395,27.621,38.149,39.123,20.922,40,40,40,40,38.437,39.942,40,40,40,40,40
"hsa-miR-301b-3p",33.794,37.265,40,36.937,40,39.762,40,40,40,40,40,40,39.758,40,38.628,39.884,40,40,40,39.756,40,40,31.49,39.751,40,40,37.427,40,40,39.123,39.883,40,40,40,35.849,40,32.066,40,40,40,39.517,36.311
"hsa-miR-539-5p",40,37.171,40,35.223,40,39.762,37.265,34.522,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,37.171,40,40,39.751,36.54,38.203,35.005,40,38.05,39.123,38.856,40,40,36.342,35.752,40,39.942,40,40,40,37.156,40
