"","GSM2478346","GSM2478347","GSM2478348","GSM2478349","GSM2478350","GSM2478351","GSM2478352","GSM2478353","GSM2478354","GSM2478355","GSM2478356","GSM2478357","GSM2478358","GSM2478359","GSM2478360"
"hsa-miR-30c-5p",10.3385804071112,11.3614284334758,10.1622528435289,10.7786521211612,8.6582829015306,9.29971172871122,10.740455396989,9.27547271841218,10.5278581556167,10.2001261825996,8.69738463076402,9.47951756454549,10.1250001056179,10.2480461512497,9.59978269630048
"hsa-miR-340-5p",10.5863331610962,10.0067187859969,10.7443461308757,10.6827576252563,9.94468278230822,9.88763188489004,9.28911976321779,10.3133025461213,10.3243380866173,11.3568095734103,8.85586514988829,9.64066069067089,9.3751915146753,10.1181754108851,10.4973029896378
"hsa-miR-186-5p",9.77300729714285,9.74975213034886,10.1692360502712,10.3213982580213,11.1601235341465,10.0884172501475,9.44091068341758,9.31874615097686,9.49119170952321,10.2665171812495,8.69359149683062,9.67323839679229,9.92691860647497,9.51538446063695,10.7814498791471
"hsa-miR-93-5p",9.79506558265962,10.6096127744261,10.2351047442571,9.74723632771485,10.8933546259155,8.73254056130812,9.65924670916759,9.17990909001493,10.5860797809313,10.8539254936761,8.83213050109593,9.29955147632031,10.6470266326549,9.56597790449784,9.7372642462098
"hsa-miR-584-5p",10.6250786677451,10.6174399151577,10.5345752469062,10.3574310418837,8.12137810196302,10.0424528261905,10.4200654802121,8.9473739417212,10.0945132003171,10.1957412932464,10.0762277126422,10.6445052565141,10.8682283815376,10.9003913646499,10.4093060692274
"hsa-miR-199a-3p",10.2772292726483,10.6325317886755,10.5265970456544,10.4098470102677,8.28798935040895,10.6358269304356,8.54395979737185,10.7592890158951,10.7741363825926,11.5071653055976,10.7681264172771,10.3418857048103,9.92209375838147,9.86215689575601,10.4306720755128
"hsa-miR-199b-3p",10.2689629929549,10.6270048601048,10.5165470742535,10.4039067710486,8.28086354496365,10.6180275373273,8.54395979737185,10.7427388960747,10.7697800024626,11.5056279806297,10.7579899657272,10.3374435051775,9.92006994629742,9.86159873923841,10.4248381300507
"hsa-miR-409-3p",10.1622654336444,10.8333486929553,9.47638168756724,11.0428426615161,6.29847503473585,9.45816050353944,8.5194003706113,5.32192809488736,8.64756635471508,7.90418300324503,7.72832870671163,9.37486560219545,8.85626988969762,9.2035682449527,8.95384722903479
"hsa-miR-28-3p",10.182655057867,10.4892157650068,10.3465358942096,10.618339614282,8.18883607303053,9.53607233296279,10.4200654802121,9.1567151442247,10.9335652618973,9.79357079747553,9.00174595661713,9.59946657883123,9.68681564459563,10.1781419504604,9.56763290594593
"hsa-let-7d-3p",11.0569627928615,10.1551724116934,10.899236063826,8.86180032066954,6.24887634283713,12.2794190601494,11.8770156644919,11.0219377148254,12.2626909499973,11.1738270189113,12.3029387401761,11.7508953699693,10.93860925622,11.4189067312579,10.6923452434746
"hsa-miR-16-2-3p",10.3798765090778,9.29510309811892,10.4906904569763,10.7421999454405,9.22407404838811,11.1260397509066,10.1344776607679,11.4305257299928,10.3429413584124,11.4034221850509,10.7891423525782,11.951204563016,10.7524810044564,10.6414195854296,11.7708951019855
"hsa-miR-23a-3p",9.63568184847242,11.2790707751742,10.3753978878384,9.06088503662076,7.9898202201176,8.74896431737671,9.18351132669513,9.69879146891476,10.3172769307351,9.50120026858893,9.12933454084779,8.65789005448821,8.9391971874549,9.7016876643353,8.85564716602727
"hsa-miR-370",8.96688031645382,10.2088683706729,9.23524837937284,11.4000842409842,8.17980959037416,8.93301192710105,7.83371236902144,5.65363331138625,7.65234307874022,7.18467702068089,6.83453425539226,7.94016675048282,8.36093485002961,8.874919889687,8.34877240800145
"hsa-miR-363-3p",8.57175264350355,9.44592529857927,9.40537550971788,8.86724784655147,11.5365289266074,9.29971172871122,9.52978191204389,9.95911808309579,7.92005505480697,10.5400505243418,9.62327795521792,10.1756618182555,10.303095761993,9.82425869660337,9.38911503844859
"hsa-miR-30a-5p",10.104873900766,10.2967441741616,10.5314496944789,9.86434093195563,8.0244748279521,10.2589075294385,10.5653020420322,8.1103528023268,10.2366361153933,9.97762338143295,11.2372756992964,9.71085808056872,8.93457547254568,9.85256071934332,10.0782175358418
"hsa-miR-182-5p",8.81384530957179,9.53034780872968,9.04154964501142,8.64035340545595,11.3495576866205,9.04382020605641,9.55420510515565,10.4979915102075,9.83851062398525,9.54714517387076,9.23773578523193,10.8448234345756,11.3120604300498,9.21064699429675,9.08748936113602
