Unnamed: 0,samples
hsa-miR-4492,24410
hsa-miR-4497,24408
hsa-miR-449a,26157
hsa-miR-449b-3p,25585
hsa-miR-449b-5p,25609
hsa-miR-449c-5p,25605
hsa-miR-4500,24373
hsa-miR-4501,24375
hsa-miR-4508,24410
hsa-miR-450a-1-3p,24181
hsa-miR-450a-2-3p,24160
hsa-miR-450a-5p,25637
hsa-miR-450b-5p,26091
hsa-miR-4516,24467
hsa-miR-451a,25635
hsa-miR-452-5p,25640
hsa-miR-4521,24467
hsa-miR-4528,24377
hsa-miR-4531,24468
hsa-miR-4532,894
hsa-miR-454-3p,25636
hsa-miR-454-5p,25553
hsa-miR-455-3p,26129
hsa-miR-455-5p,26123
hsa-miR-4644,24402
hsa-miR-4646-3p,24355
hsa-miR-4646-5p,24353
hsa-miR-4649-5p,24321
hsa-miR-4652-5p,24319
hsa-miR-4653-3p,24351
hsa-miR-4653-5p,24320
hsa-miR-4660,24405
hsa-miR-4661-3p,24322
hsa-miR-4662a-5p,24322
hsa-miR-4664-3p,24349
hsa-miR-4664-5p,24320
hsa-miR-4665-5p,24354
hsa-miR-4673,24411
hsa-miR-4676-3p,24321
hsa-miR-4677-3p,24319
hsa-miR-4677-5p,24323
hsa-miR-4683,24400
hsa-miR-4684-5p,24317
hsa-miR-4686,24376
hsa-miR-4687-5p,24322
hsa-miR-4689,24410
hsa-miR-4699-5p,24321
hsa-miR-4700-5p,24323
hsa-miR-4705,24375
hsa-miR-4706,24378
hsa-miR-4707-3p,24411
hsa-miR-4707-5p,24409
hsa-miR-4709-3p,24322
hsa-miR-4710,24399
hsa-miR-4712-3p,24318
hsa-miR-4713-5p,24319
hsa-miR-4716-3p,24353
hsa-miR-4717-3p,24321
hsa-miR-4717-5p,24318
hsa-miR-4719,24398
hsa-miR-4721,24405
hsa-miR-4722-5p,24322
hsa-miR-4725-3p,24352
hsa-miR-4726-5p,24353
hsa-miR-4728-3p,24355
hsa-miR-4728-5p,24354
hsa-miR-4731-3p,24354
hsa-miR-4733-5p,24351
hsa-miR-4738-3p,24355
hsa-miR-4739,24411
hsa-miR-4741,24466
hsa-miR-4742-3p,24313
hsa-miR-4742-5p,24321
hsa-miR-4743-5p,24338
hsa-miR-4746-5p,24322
hsa-miR-4747-5p,24320
hsa-miR-4748,24402
hsa-miR-4750-5p,24335
hsa-miR-4755-3p,24355
hsa-miR-4757-5p,24313
hsa-miR-4758-5p,24352
hsa-miR-4761-3p,24323
hsa-miR-4761-5p,24322
hsa-miR-4762-5p,24317
hsa-miR-4763-3p,24353
hsa-miR-4772-3p,24322
hsa-miR-4772-5p,24318
hsa-miR-4775,24379
hsa-miR-4781-5p,24318
hsa-miR-4783-3p,24354
hsa-miR-4785,24398
hsa-miR-4787-3p,24409
hsa-miR-4787-5p,24412
hsa-miR-4791,24377
hsa-miR-4792,888
hsa-miR-4798-5p,24323
hsa-miR-4800-5p,24355
hsa-miR-4802-5p,24314
hsa-miR-483-5p,26129
hsa-miR-484,26199
hsa-miR-485-3p,26097
hsa-miR-486-3p,26130
hsa-miR-486-5p,26073
hsa-miR-488-3p,25607
hsa-miR-488-5p,25551
hsa-miR-489-3p,25438
hsa-miR-491-3p,26126
hsa-miR-491-5p,26092
hsa-miR-492,26191
hsa-miR-493-5p,25577
hsa-miR-494-3p,25438
hsa-miR-497-3p,25548
hsa-miR-497-5p,25603
hsa-miR-498,1385
hsa-miR-499a-5p,25613
hsa-miR-499b-5p,24372
hsa-miR-5001-3p,24369
hsa-miR-5008-5p,24346
hsa-miR-5009-5p,24309
hsa-miR-500a-3p,25585
hsa-miR-500a-5p,25372
hsa-miR-501-3p,26125
hsa-miR-501-5p,26041
hsa-miR-502-3p,26098
hsa-miR-503-3p,24311
hsa-miR-503-5p,25631
hsa-miR-504-5p,25437
hsa-miR-505-3p,25636
hsa-miR-505-5p,25553
hsa-miR-508-3p,26098
hsa-miR-5088-5p,24134
hsa-miR-5089-3p,24242
hsa-miR-5089-5p,24303
hsa-miR-509-3p,26092
hsa-miR-5090,24346
hsa-miR-5096,837
hsa-miR-5100,24338
hsa-miR-514a-3p,25608
hsa-miR-515-3p,26123
hsa-miR-515-5p,26123
hsa-miR-516a-5p,26125
hsa-miR-517a-3p,1943
hsa-miR-517b-3p,1439
hsa-miR-517c-3p,25580
hsa-miR-5187-5p,24345
hsa-miR-5188,24304
hsa-miR-518a-5p,2144
hsa-miR-518b,26193
hsa-miR-518c-3p,25602
hsa-miR-518c-5p,25583
hsa-miR-518d-3p,26088
hsa-miR-518d-5p,798
hsa-miR-518e-5p,1676
hsa-miR-518f-3p,25606
hsa-miR-5196-5p,24403
hsa-miR-519a-3p,24696
hsa-miR-519a-5p,793
hsa-miR-519c-3p,26123
hsa-miR-519c-5p,793
hsa-miR-519d-5p,24086
hsa-miR-520g-3p,25227
hsa-miR-520h,26138
hsa-miR-522-5p,793
hsa-miR-523-5p,793
hsa-miR-524-5p,24728
hsa-miR-525-5p,26126
hsa-miR-526b-5p,25638
hsa-miR-527,858
hsa-miR-532-3p,26128
hsa-miR-532-5p,26126
hsa-miR-542-3p,26098
hsa-miR-542-5p,26130
hsa-miR-545-3p,25604
hsa-miR-545-5p,25548
hsa-miR-548a-3p,26094
hsa-miR-548aa,1217
hsa-miR-548ac,24378
hsa-miR-548ad-5p,99
hsa-miR-548am-5p,620
hsa-miR-548aq-3p,24055
hsa-miR-548aq-5p,24314
hsa-miR-548at-5p,24309
hsa-miR-548au-5p,24254
hsa-miR-548aw,24311
hsa-miR-548ay-3p,24242
hsa-miR-548ay-5p,24244
hsa-miR-548b-3p,26121
hsa-miR-548b-5p,26034
hsa-miR-548c-3p,26037
hsa-miR-548c-5p,2080
hsa-miR-548d-5p,25882
hsa-miR-548e-3p,25439
hsa-miR-548e-5p,24143
hsa-miR-548h-3p,620
hsa-miR-548i,26080
hsa-miR-548j-5p,25224
hsa-miR-548k,25933
hsa-miR-548l,26145
hsa-miR-548n,26141
hsa-miR-548o-3p,25289
hsa-miR-548o-5p,354
hsa-miR-548q,25805
hsa-miR-548t-3p,354
hsa-miR-548u,25611
hsa-miR-548x-3p,25341
hsa-miR-548y,25019
hsa-miR-548z,1007
hsa-miR-550a-3-5p,24289
hsa-miR-550a-3p,25373
hsa-miR-550a-5p,25642
hsa-miR-551a,26161
hsa-miR-551b-3p,25637
hsa-miR-551b-5p,25585
hsa-miR-556-3p,26092
hsa-miR-556-5p,26094
hsa-miR-5580-3p,24315
hsa-miR-5583-3p,24309
hsa-miR-5584-5p,24345
hsa-miR-5585-3p,24346
hsa-miR-5585-5p,24314
hsa-miR-5588-5p,24310
hsa-miR-561-3p,25605
hsa-miR-561-5p,24370
hsa-miR-5680,24308
hsa-miR-5682,24310
hsa-miR-5698,24308
hsa-miR-5699-3p,24141
hsa-miR-5699-5p,24085
hsa-miR-570-3p,25608
hsa-miR-5701,24310
hsa-miR-5702,24304
hsa-miR-5703,24346
hsa-miR-574-3p,26126
hsa-miR-574-5p,26128
hsa-miR-576-3p,26094
hsa-miR-576-5p,26089
hsa-miR-577,26156
hsa-miR-5787,24276
hsa-miR-579-3p,25437
hsa-miR-579-5p,24142
hsa-miR-580-3p,25438
hsa-miR-582-3p,26098
hsa-miR-582-5p,26120
hsa-miR-584-3p,24371
hsa-miR-584-5p,25640
hsa-miR-585-5p,24085
hsa-miR-589-3p,25548
hsa-miR-589-5p,25610
hsa-miR-590-3p,26092
hsa-miR-590-5p,26124
hsa-miR-592,26153
hsa-miR-596,26194
hsa-miR-597-3p,24085
hsa-miR-597-5p,25434
hsa-miR-598-3p,25438
hsa-miR-6087,742
hsa-miR-6089,24275
hsa-miR-6124,24270
hsa-miR-6126,24268
hsa-miR-6134,24240
hsa-miR-615-3p,26130
hsa-miR-615-5p,26097
hsa-miR-616-3p,25608
hsa-miR-618,26101
hsa-miR-619-5p,24086
hsa-miR-624-5p,25550
hsa-miR-625-3p,25581
hsa-miR-625-5p,25642
hsa-miR-627-3p,24142
hsa-miR-627-5p,25439
hsa-miR-628-3p,26097
hsa-miR-628-5p,26094
hsa-miR-629-3p,25583
hsa-miR-629-5p,25636
hsa-miR-631,26194
hsa-miR-636,26133
hsa-miR-639,26197
hsa-miR-641,26166
hsa-miR-642a-3p,24402
hsa-miR-642a-5p,25607
hsa-miR-642b-3p,24936
hsa-miR-650,26200
hsa-miR-6500-3p,24240
hsa-miR-6505-5p,24236
hsa-miR-6509-5p,24273
hsa-miR-651-3p,24153
hsa-miR-651-5p,25433
hsa-miR-6510-5p,24275
hsa-miR-6511a-3p,24300
hsa-miR-6511b-3p,24272
hsa-miR-6513-3p,24238
hsa-miR-6513-5p,24242
hsa-miR-6514-5p,24242
hsa-miR-6515-3p,24275
hsa-miR-6515-5p,24243
hsa-miR-6516-3p,24085
hsa-miR-652-3p,25634
hsa-miR-652-5p,24401
hsa-miR-653-3p,24085
hsa-miR-653-5p,25379
hsa-miR-654-3p,26120
hsa-miR-659-5p,24312
hsa-miR-660-5p,25635
hsa-miR-663a,25636
hsa-miR-663b,26120
hsa-miR-664a-3p,25600
hsa-miR-664a-5p,25576
hsa-miR-664b-3p,24389
hsa-miR-664b-5p,24392
hsa-miR-665,26199
hsa-miR-671-3p,26095
hsa-miR-671-5p,26129
hsa-miR-6715a-3p,24236
hsa-miR-6715b-3p,24243
hsa-miR-6716-3p,24271
hsa-miR-6720-3p,24295
hsa-miR-6720-5p,24083
hsa-miR-6721-5p,24299
hsa-miR-6723-5p,738
hsa-miR-6724-5p,24327
hsa-miR-6728-5p,24086
hsa-miR-6729-3p,24083
hsa-miR-6729-5p,24087
hsa-miR-6730-5p,24085
hsa-miR-6731-5p,24086
hsa-miR-6732-3p,24085
hsa-miR-6734-5p,24087
hsa-miR-6735-5p,24087
hsa-miR-6736-5p,24087
hsa-miR-6737-3p,24085
hsa-miR-6740-5p,24087
hsa-miR-6741-3p,24083
hsa-miR-6741-5p,24086
hsa-miR-6743-3p,24084
hsa-miR-6744-3p,24084
hsa-miR-6745,24077
hsa-miR-6746-5p,24085
hsa-miR-6747-3p,24086
hsa-miR-6748-5p,24084
hsa-miR-6751-5p,24086
